fromstn,fromhgt,tostn,tohgt,date,obsset,ha_value,ha_error,zd_value,zd_error,sd_value,sd_error,lv_value,lv_error,isetupid,tsetupid,fbsource,rawsource
WAS3,0.000,TWS3,0.8000,2015-03-14,1,,,94.29119,0.00028,,,,,S5,,constants.csv+fieldbook_antenna30.csv:16,30AZIA.RAW: 0002/0009
WAS3,0.000,TWS3,1.2000,2015-03-14,1,,,91.74853,0.00028,,,,,S5,,constants.csv+fieldbook_antenna30.csv:16,30AZIA.RAW: 0003/0008
WAS3,0.000,TWS3,1.6000,2015-03-14,1,,,89.20142,0.00028,,,,,S5,,constants.csv+fieldbook_antenna30.csv:16,30AZIA.RAW: 0004/0007
WAS3,0.000,TWS3,2.0000,2015-03-14,1,,,86.65797,0.00028,,,,,S5,,constants.csv+fieldbook_antenna30.csv:16,30AZIA.RAW: 0005/0006
WAS3,0.000,WAN3,0.000,2015-03-14,2,359.99703,0.00028,92.08285,0.00028,88.9602,0.0001,,,S5,T5,constants.csv+fieldbook_antenna30.csv:19,30AZIA.RAW: 0010/0017
WAS3,0.000,34A1,0.000,2015-03-14,2,40.79576,0.00028,83.43590,0.00028,69.1316,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:19,30AZIA.RAW: 0011/0016
WAS3,0.000,34A2,0.000,2015-03-14,2,49.18917,0.00028,83.21121,0.00028,63.0766,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:19,30AZIA.RAW: 0012/0015
WAS3,0.000,34A3,0.000,2015-03-14,2,51.55917,0.00028,82.15404,0.00028,71.9510,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:19,30AZIA.RAW: 0013/0014
WAS3,0.000,WAN3,0.000,2015-03-14,3,359.99440,0.00028,92.08225,0.00028,88.9601,0.0001,,,S5,T5,constants.csv+fieldbook_antenna30.csv:22,30AZIA.RAW: 0018/0023
WAS3,0.000,32A1,0.000,2015-03-14,3,41.80886,0.00028,83.13328,0.00028,66.0975,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:22,30AZIA.RAW: 0019/0022
WAS3,0.000,32A2,0.000,2015-03-14,3,51.74879,0.00028,83.35560,0.00028,64.4509,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:22,30AZIA.RAW: 0020/0021
WAS3,0.000,WAN3,0.000,2015-03-14,4,359.99464,0.00028,92.08244,0.00028,88.9602,0.0001,,,S5,T5,constants.csv+fieldbook_antenna30.csv:23,30AZIA.RAW: 0024/0031
WAS3,0.000,30A1,0.000,2015-03-14,4,43.62654,0.00028,82.90429,0.00028,63.9795,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:23,30AZIA.RAW: 0025/0030
WAS3,0.000,30A4,0.000,2015-03-14,4,44.32776,0.00028,76.42158,0.00028,78.3587,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:23,30AZIA.RAW: 0026/0029
WAS3,0.000,30A2,0.000,2015-03-14,4,53.38232,0.00028,83.56989,0.00028,66.5894,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:23,30AZIA.RAW: 0027/0028
WAS3,0.000,WAN3,0.000,2015-03-14,5,359.99499,0.00028,92.08336,0.00028,88.9602,0.0001,,,S5,T5,constants.csv+fieldbook_antenna30.csv:24,30AZIA.RAW: 0032/0041
WAS3,0.000,28A4,0.000,2015-03-14,5,43.02288,0.00028,76.12196,0.00028,76.6980,0.0001,,,S5,,constants.csv+fieldbook_antenna30.csv:24,30AZIA.RAW: 0033/0040
