fromstn,fromhgt,tostn,tohgt,date,obsset,ha_value,ha_error,zd_value,zd_error,sd_value,sd_error,lv_value,lv_error,isetupid,tsetupid,fbsource,rawsource
WAN3,1.620,WANE,1.700,2015-03-15,1,-0.00022,0.00028,84.58028,0.00028,227.6857,0.0001,,,CON001,CON002,constants.csv+fieldbook_control.csv:15,15CON.RAW: 0003/0010
WAN3,1.620,WANW,1.680,2015-03-15,1,5.77475,0.00028,84.47536,0.00028,227.3644,0.0001,,,CON001,CON003,constants.csv+fieldbook_control.csv:15,15CON.RAW: 0004/0009
WAN3,1.620,WAW2,1.580,2015-03-15,1,11.97369,0.00028,86.66321,0.00028,188.3634,0.0001,,,CON001,CON004,constants.csv+fieldbook_control.csv:15,15CON.RAW: 0005/0008
WAN3,1.620,WAS3,1.600,2015-03-15,1,17.75596,0.00028,87.91614,0.00028,88.9601,0.0001,,,CON001,CON005,constants.csv+fieldbook_control.csv:15,15CON.RAW: 0006/0007
WAN3,1.620,WANE,1.700,2015-03-15,2,359.99890,0.00028,84.58157,0.00028,227.6860,0.0001,,,CON001,CON002,constants.csv+fieldbook_control.csv:16,15CON.RAW: 0011/0018
WAN3,1.620,WANW,1.680,2015-03-15,2,5.77433,0.00028,84.47507,0.00028,227.3644,0.0001,,,CON001,CON003,constants.csv+fieldbook_control.csv:16,15CON.RAW: 0012/0017
WAN3,1.620,WAW2,1.580,2015-03-15,2,11.97179,0.00028,86.66271,0.00028,188.3632,0.0001,,,CON001,CON004,constants.csv+fieldbook_control.csv:16,15CON.RAW: 0013/0016
WAN3,1.620,WAS3,1.600,2015-03-15,2,17.75650,0.00028,87.91600,0.00028,88.9600,0.0001,,,CON001,CON005,constants.csv+fieldbook_control.csv:16,15CON.RAW: 0014/0015
WAN3,1.620,WANE,1.700,2015-03-15,3,359.99896,0.00028,84.57990,0.00028,227.6859,0.0001,,,CON001,CON002,constants.csv+fieldbook_control.csv:17,15CON.RAW: 0019/0026
WAN3,1.620,WANW,1.680,2015-03-15,3,5.77429,0.00028,84.47371,0.00028,227.3645,0.0001,,,CON001,CON003,constants.csv+fieldbook_control.csv:17,15CON.RAW: 0020/0025
WAN3,1.620,WAW2,1.580,2015-03-15,3,11.97158,0.00028,86.66317,0.00028,188.3633,0.0001,,,CON001,CON004,constants.csv+fieldbook_control.csv:17,15CON.RAW: 0021/0024
WAN3,1.620,WAS3,1.600,2015-03-15,3,17.75629,0.00028,87.91628,0.00028,88.9599,0.0001,,,CON001,CON005,constants.csv+fieldbook_control.csv:17,15CON.RAW: 0022/0023
WAN3,1.620,WANE,1.700,2015-03-15,4,359.99942,0.00028,84.58074,0.00028,227.6860,0.0001,,,CON001,CON002,constants.csv+fieldbook_control.csv:18,15CON.RAW: 0027/0034
WAN3,1.620,WANW,1.680,2015-03-15,4,5.77463,0.00028,84.47529,0.00028,227.3645,0.0001,,,CON001,CON003,constants.csv+fieldbook_control.csv:18,15CON.RAW: 0028/0033
WAN3,1.620,WAW2,1.580,2015-03-15,4,11.97225,0.00028,86.66315,0.00028,188.3633,0.0001,,,CON001,CON004,constants.csv+fieldbook_control.csv:18,15CON.RAW: 0029/0032
WAN3,1.620,WAS3,1.600,2015-03-15,4,17.75699,0.00028,87.91597,0.00028,88.9600,0.0001,,,CON001,CON005,constants.csv+fieldbook_control.csv:18,15CON.RAW: 0030/0031
WAN3,1.620,WANE,1.700,2015-03-15,5,359.99886,0.00028,84.58044,0.00028,227.6860,0.0001,,,CON001,CON002,constants.csv+fieldbook_control.csv:19,15CON.RAW: 0035/0042
WAN3,1.620,WANW,1.680,2015-03-15,5,5.77453,0.00028,84.47526,0.00028,227.3645,0.0001,,,CON001,CON003,constants.csv+fieldbook_control.csv:19,15CON.RAW: 0036/0041
WAN3,1.620,WAW2,1.580,2015-03-15,5,11.97149,0.00028,86.66306,0.00028,188.3633,0.0001,,,CON001,CON004,constants.csv+fieldbook_control.csv:19,15CON.RAW: 0037/0040
WAN3,1.620,WAS3,1.600,2015-03-15,5,17.75633,0.00028,87.91606,0.00028,88.9601,0.0001,,,CON001,CON005,constants.csv+fieldbook_control.csv:19,15CON.RAW: 0038/0039
WAS3,1.600,WANE,1.700,2015-03-15,6,359.99976,0.00028,82.79719,0.00028,145.7177,0.0001,,,CON006,CON002,constants.csv+fieldbook_control.csv:23,15CON.RAW: 0044/0051
WAS3,1.600,WANW,1.680,2015-03-15,6,9.03976,0.00028,82.43925,0.00028,141.7935,0.0001,,,CON006,CON003,constants.csv+fieldbook_control.csv:23,15CON.RAW: 0045/0050
WAS3,1.600,WAW2,1.580,2015-03-15,6,17.64082,0.00028,85.57893,0.00028,100.2959,0.0001,,,CON006,CON004,constants.csv+fieldbook_control.csv:23,15CON.RAW: 0046/0049
WAS3,1.600,WAN3,1.620,2015-03-15,6,208.56647,0.00028,92.08367,0.00028,88.9600,0.0001,,,CON006,CON007,constants.csv+fieldbook_control.csv:23,15CON.RAW: 0047/0048
WAS3,1.600,WANE,1.700,2015-03-15,7,359.99974,0.00028,82.79736,0.00028,145.7176,0.0001,,,CON006,CON002,constants.csv+fieldbook_control.csv:24,15CON.RAW: 0052/0059
WAS3,1.600,WANW,1.680,2015-03-15,7,9.04004,0.00028,82.43950,0.00028,141.7933,0.0001,,,CON006,CON003,constants.csv+fieldbook_control.csv:24,15CON.RAW: 0053/0058
WAS3,1.600,WAW2,1.580,2015-03-15,7,17.64118,0.00028,85.57875,0.00028,100.2959,0.0001,,,CON006,CON004,constants.csv+fieldbook_control.csv:24,15CON.RAW: 0054/0057
WAS3,1.600,WAN3,1.620,2015-03-15,7,208.56657,0.00028,92.08386,0.00028,88.9600,0.0001,,,CON006,CON007,constants.csv+fieldbook_control.csv:24,15CON.RAW: 0055/0056
WAS3,1.600,WANE,1.700,2015-03-15,8,0.00024,0.00028,82.79736,0.00028,145.7176,0.0001,,,CON006,CON002,constants.csv+fieldbook_control.csv:25,15CON.RAW: 0060/0067
WAS3,1.600,WANW,1.680,2015-03-15,8,9.04044,0.00028,82.43914,0.00028,141.7934,0.0001,,,CON006,CON003,constants.csv+fieldbook_control.csv:25,15CON.RAW: 0061/0066
