fromstn,tostn,fromhgt,tohgt,obstype,obsset,obsdate,value,error,calcval,residual,reserr,stdres
WAN3,WANE,1.62,1.7,SD,1,2015-03-15 00:00:00,227.685700,0.000190,227.685947,-0.000247,0.000180,1.3775
WAN3,WANE,1.62,1.7,ZD,2,2015-03-15 00:00:00,84.580280,0.000728,84.580765,-0.000485,0.000707,0.6862
WAN3,WANW,1.62,1.68,SD,3,2015-03-15 00:00:00,227.364400,0.000190,227.364438,-0.000038,0.000181,0.2118
WAN3,WANW,1.62,1.68,ZD,4,2015-03-15 00:00:00,84.475360,0.000728,84.475243,0.000117,0.000708,0.1654
WAN3,WAW2,1.62,1.58,SD,5,2015-03-15 00:00:00,188.363400,0.000190,188.363545,-0.000145,0.000184,0.7841
WAN3,WAW2,1.62,1.58,ZD,6,2015-03-15 00:00:00,86.663210,0.000728,86.663373,-0.000163,0.000699,0.2336
WAN3,WAS3,1.62,1.6,SD,7,2015-03-15 00:00:00,88.960100,0.000190,88.960223,-0.000123,0.000188,0.6522
WAN3,WAS3,1.62,1.6,ZD,8,2015-03-15 00:00:00,87.916140,0.000728,87.916258,-0.000118,0.000655,0.1804
WAN3,WANE,1.62,1.7,HA,9,2015-03-15 00:00:00,-0.000220,0.000980,-0.000298,0.000078,0.000848,0.0918
WAN3,WANW,1.62,1.68,HA,9,2015-03-15 00:00:00,5.774750,0.000980,5.775097,-0.000347,0.000848,0.4087
WAN3,WAW2,1.62,1.58,HA,9,2015-03-15 00:00:00,11.973690,0.000980,11.972463,0.001227,0.000848,1.4466
WAN3,WAS3,1.62,1.6,HA,9,2015-03-15 00:00:00,17.755960,0.000980,17.756918,-0.000958,0.000845,1.1338
WAN3,WANE,1.62,1.7,SD,10,2015-03-15 00:00:00,227.686000,0.000190,227.685947,0.000053,0.000180,0.2933
WAN3,WANE,1.62,1.7,ZD,11,2015-03-15 00:00:00,84.581570,0.000728,84.580765,0.000805,0.000707,1.1384
WAN3,WANW,1.62,1.68,SD,12,2015-03-15 00:00:00,227.364400,0.000190,227.364438,-0.000038,0.000181,0.2118
WAN3,WANW,1.62,1.68,ZD,13,2015-03-15 00:00:00,84.475070,0.000728,84.475243,-0.000173,0.000708,0.2441
WAN3,WAW2,1.62,1.58,SD,14,2015-03-15 00:00:00,188.363200,0.000190,188.363545,-0.000345,0.000184,1.8689
WAN3,WAW2,1.62,1.58,ZD,15,2015-03-15 00:00:00,86.662710,0.000728,86.663373,-0.000663,0.000699,0.9491
WAN3,WAS3,1.62,1.6,SD,16,2015-03-15 00:00:00,88.960000,0.000190,88.960223,-0.000223,0.000188,1.1842
WAN3,WAS3,1.62,1.6,ZD,17,2015-03-15 00:00:00,87.916000,0.000728,87.916258,-0.000258,0.000655,0.3943
WAN3,WANE,1.62,1.7,HA,18,2015-03-15 00:00:00,359.998900,0.000980,359.999037,-0.000137,0.000848,0.1617
WAN3,WANW,1.62,1.68,HA,18,2015-03-15 00:00:00,5.774330,0.000980,5.774432,-0.000102,0.000848,0.1198
WAN3,WAW2,1.62,1.58,HA,18,2015-03-15 00:00:00,11.971790,0.000980,11.971798,-0.000008,0.000848,0.0095
WAN3,WAS3,1.62,1.6,HA,18,2015-03-15 00:00:00,17.756500,0.000980,17.756253,0.000247,0.000845,0.2921
WAN3,WANE,1.62,1.7,SD,19,2015-03-15 00:00:00,227.685900,0.000190,227.685947,-0.000047,0.000180,0.2637
WAN3,WANE,1.62,1.7,ZD,20,2015-03-15 00:00:00,84.579900,0.000728,84.580765,-0.000865,0.000707,1.2237
WAN3,WANW,1.62,1.68,SD,21,2015-03-15 00:00:00,227.364500,0.000190,227.364438,0.000062,0.000181,0.3400
WAN3,WANW,1.62,1.68,ZD,22,2015-03-15 00:00:00,84.473710,0.000728,84.475243,-0.001533,0.000708,2.1642
WAN3,WAW2,1.62,1.58,SD,23,2015-03-15 00:00:00,188.363300,0.000190,188.363545,-0.000245,0.000184,1.3265
WAN3,WAW2,1.62,1.58,ZD,24,2015-03-15 00:00:00,86.663170,0.000728,86.663373,-0.000203,0.000699,0.2908
WAN3,WAS3,1.62,1.6,SD,25,2015-03-15 00:00:00,88.959900,0.000190,88.960223,-0.000323,0.000188,1.7163
WAN3,WAS3,1.62,1.6,ZD,26,2015-03-15 00:00:00,87.916280,0.000728,87.916258,0.000022,0.000655,0.0335
WAN3,WANE,1.62,1.7,HA,27,2015-03-15 00:00:00,359.998960,0.000980,359.998937,0.000023,0.000848,0.0269
WAN3,WANW,1.62,1.68,HA,27,2015-03-15 00:00:00,5.774290,0.000980,5.774332,-0.000042,0.000848,0.0491
