mark,antenna,axis,target,arc,de,dn,du
22X5,WARK12M,azimuth,5,X,-0.0003,0.0003,-0.0001
30Y3,WARK12M,elevation,3,Y,-0.0001,-0.0004,0.0001
30Y1,WARK12M,elevation,1,Y,-0.0000,0.0005,-0.0002
30Y4,WARK12M,elevation,4,Y,-0.0002,0.0000,-0.0000
30Y5,WARK12M,elevation,5,Y,-0.0001,0.0001,0.0001
40Y3,WARK12M,elevation,3,Y,-0.0000,-0.0004,0.0000
40Y1,WARK12M,elevation,1,Y,-0.0001,0.0002,-0.0001
10X4,WARK12M,azimuth,4,X,-0.0004,0.0002,0.0000
10X1,WARK12M,azimuth,1,X,-0.0004,0.0003,-0.0000
40Y4,WARK12M,elevation,4,Y,-0.0001,0.0000,-0.0001
26X5,WARK12M,azimuth,5,X,-0.0003,0.0002,-0.0001
26X6,WARK12M,azimuth,6,X,-0.0003,0.0000,0.0003
26X1,WARK12M,azimuth,1,X,-0.0003,0.0002,0.0000
04W4,WARK12M,azimuth,4,W,0.0005,0.0005,-0.0009
04W6,WARK12M,azimuth,6,W,0.0004,0.0004,-0.0011
04W1,WARK12M,azimuth,1,W,0.0003,0.0006,-0.0007
04W3,WARK12M,azimuth,3,W,0.0003,0.0005,-0.0009
08W1,WARK12M,azimuth,1,W,0.0004,0.0006,-0.0009
08W3,WARK12M,azimuth,3,W,0.0004,0.0003,-0.0009
08W4,WARK12M,azimuth,4,W,0.0005,0.0007,-0.0008
08W6,WARK12M,azimuth,6,W,0.0003,0.0003,-0.0012
80Z3,WARK12M,elevation,3,Z,-0.0012,-0.0004,-0.0008
80Z1,WARK12M,elevation,1,Z,0.0005,0.0002,-0.0009
80Z4,WARK12M,elevation,4,Z,0.0004,-0.0001,-0.0009
80Z5,WARK12M,elevation,5,Z,0.0003,0.0000,-0.0010
04X3,WARK12M,azimuth,3,X,-0.0001,0.0002,0.0001
04X4,WARK12M,azimuth,4,X,-0.0004,0.0001,0.0001
04X5,WARK12M,azimuth,5,X,-0.0004,0.0001,0.0001
12X4,WARK12M,azimuth,4,X,-0.0001,0.0001,-0.0001
12X6,WARK12M,azimuth,6,X,-0.0002,0.0003,-0.0005
12X1,WARK12M,azimuth,1,X,-0.0002,0.0002,0.0001
12X3,WARK12M,azimuth,3,X,-0.0002,0.0002,-0.0001
20X1,WARK12M,azimuth,1,X,-0.0004,0.0002,0.0000
20X6,WARK12M,azimuth,6,X,-0.0004,0.0003,-0.0003
20X4,WARK12M,azimuth,4,X,-0.0004,0.0001,-0.0001
20X5,WARK12M,azimuth,5,X,-0.0004,0.0002,0.0001
14W1,WARK12M,azimuth,1,W,0.0004,0.0006,-0.0010
14W5,WARK12M,azimuth,5,W,0.0006,0.0005,-0.0010
00Y5,WARK12M,elevation,5,Y,-0.0003,0.0004,-0.0002
00Y3,WARK12M,elevation,3,Y,-0.0005,-0.0003,0.0002
00Y1,WARK12M,elevation,1,Y,-0.0002,0.0003,-0.0002
12W1,WARK12M,azimuth,1,W,0.0005,0.0005,-0.0009
12W4,WARK12M,azimuth,4,W,0.0004,0.0005,-0.0013
12W5,WARK12M,azimuth,5,W,0.0005,0.0005,-0.0010
12W6,WARK12M,azimuth,6,W,0.0003,0.0003,-0.0013
60Y1,WARK12M,elevation,1,Y,-0.0003,-0.0001,-0.0000
60Y3,WARK12M,elevation,3,Y,-0.0002,0.0000,-0.0000
60Y5,WARK12M,elevation,5,Y,0.0000,0.0001,-0.0002
60Y4,WARK12M,elevation,4,Y,-0.0001,0.0001,-0.0001
02X4,WARK12M,azimuth,4,X,-0.0004,0.0002,0.0002
02X5,WARK12M,azimuth,5,X,-0.0004,-0.0000,0.0002
02X3,WARK12M,azimuth,3,X,-0.0002,0.0001,0.0002
22W5,WARK12M,azimuth,5,W,0.0003,0.0007,-0.0009
22W6,WARK12M,azimuth,6,W,0.0006,0.0006,-0.0005
22W3,WARK12M,azimuth,3,W,0.0006,0.0005,-0.0008
90Z5,WARK12M,elevation,5,Z,0.0004,0.0003,-0.0010
90Z4,WARK12M,elevation,4,Z,0.0001,0.0003,-0.0008
90Z1,WARK12M,elevation,1,Z,0.0006,-0.0000,-0.0011
90Z3,WARK12M,elevation,3,Z,-0.0015,-0.0004,-0.0006
10X3,WARK12M,azimuth,3,X,-0.0006,0.0002,-0.0001
40Y5,WARK12M,elevation,5,Y,-0.0001,-0.0000,-0.0000
14X3,WARK12M,azimuth,3,X,-0.0003,0.0003,-0.0000
14X1,WARK12M,azimuth,1,X,-0.0005,0.0001,0.0002
14X6,WARK12M,azimuth,6,X,-0.0004,0.0003,-0.0002
14X4,WARK12M,azimuth,4,X,-0.0003,-0.0001,0.0001
18X6,WARK12M,azimuth,6,X,-0.0005,0.0005,-0.0001
18X4,WARK12M,azimuth,4,X,-0.0003,0.0002,-0.0002
18X1,WARK12M,azimuth,1,X,-0.0005,0.0002,-0.0001
30X5,WARK12M,azimuth,5,X,-0.0005,0.0002,-0.0000
30X6,WARK12M,azimuth,6,X,-0.0003,0.0001,0.0003
30X1,WARK12M,azimuth,1,X,-0.0003,0.0002,0.0000
22X1,WARK12M,azimuth,1,X,-0.0006,0.0004,-0.0002
40Z4,WARK12M,elevation,4,Z,0.0003,0.0005,-0.0009
40Z5,WARK12M,elevation,5,Z,0.0005,0.0003,-0.0009
40Z3,WARK12M,elevation,3,Z,0.0009,0.0006,-0.0008
22X6,WARK12M,azimuth,6,X,-0.0004,0.0003,-0.0003
40Z1,WARK12M,elevation,1,Z,0.0001,0.0006,-0.0008
60Z1,WARK12M,elevation,1,Z,0.0005,0.0002,-0.0008
60Z3,WARK12M,elevation,3,Z,-0.0005,-0.0001,-0.0010
60Z4,WARK12M,elevation,4,Z,0.0001,0.0003,-0.0009
60Z5,WARK12M,elevation,5,Z,0.0002,0.0002,-0.0009
28X1,WARK12M,azimuth,1,X,-0.0001,0.0000,-0.0001
28X6,WARK12M,azimuth,6,X,-0.0001,-0.0001,0.0003
28X5,WARK12M,azimuth,5,X,-0.0003,0.0003,-0.0002
16X1,WARK12M,azimuth,1,X,-0.0003,0.0002,-0.0002
16X3,WARK12M,azimuth,3,X,-0.0005,0.0002,0.0001
16X5,WARK12M,azimuth,5,X,-0.0004,-0.0000,-0.0002
16X4,WARK12M,azimuth,4,X,-0.0003,-0.0001,-0.0002
16X6,WARK12M,azimuth,6,X,-0.0006,0.0002,-0.0004
24X6,WARK12M,azimuth,6,X,-0.0003,-0.0001,0.0002
24X5,WARK12M,azimuth,5,X,-0.0002,0.0002,-0.0002
24X1,WARK12M,azimuth,1,X,-0.0002,0.0003,-0.0000
00Z3,WARK12M,elevation,3,Z,0.0004,0.0003,-0.0005
00Z1,WARK12M,elevation,1,Z,0.0001,0.0001,-0.0008
00Z5,WARK12M,elevation,5,Z,0.0000,-0.0002,-0.0011
90Y4,WARK12M,elevation,4,Y,-0.0002,0.0001,0.0001
90Y5,WARK12M,elevation,5,Y,0.0001,0.0001,-0.0002
90Y1,WARK12M,elevation,1,Y,-0.0004,0.0000,-0.0001
90Y3,WARK12M,elevation,3,Y,-0.0002,0.0004,0.0001
18W6,WARK12M,azimuth,6,W,0.0005,0.0006,-0.0007
18W5,WARK12M,azimuth,5,W,0.0005,0.0003,-0.0009
18W1,WARK12M,azimuth,1,W,0.0006,0.0005,-0.0009
70Z3,WARK12M,elevation,3,Z,-0.0011,-0.0003,-0.0010
70Z1,WARK12M,elevation,1,Z,0.0005,0.0002,-0.0009
70Z5,WARK12M,elevation,5,Z,0.0001,0.0002,-0.0008
70Z4,WARK12M,elevation,4,Z,0.0003,0.0001,-0.0010
50Z1,WARK12M,elevation,1,Z,0.0004,0.0002,-0.0007
20Y4,WARK12M,elevation,4,Y,-0.0001,0.0002,-0.0001
50Z3,WARK12M,elevation,3,Z,0.0002,0.0005,-0.0010
50Z5,WARK12M,elevation,5,Z,0.0006,0.0006,-0.0008
50Z4,WARK12M,elevation,4,Z,0.0004,0.0007,-0.0008
20Y3,WARK12M,elevation,3,Y,-0.0002,-0.0004,0.0002
32X6,WARK12M,azimuth,6,X,-0.0000,-0.0000,0.0004
32X5,WARK12M,azimuth,5,X,-0.0000,-0.0000,0.0000
32X3,WARK12M,azimuth,3,X,0.0001,-0.0001,-0.0000
70Y5,WARK12M,elevation,5,Y,0.0001,0.0001,-0.0001
28W3,WARK12M,azimuth,3,W,0.0008,0.0008,-0.0007
28W5,WARK12M,azimuth,5,W,0.0008,0.0009,-0.0006
28W4,WARK12M,azimuth,4,W,0.0009,0.0007,-0.0007
06W3,WARK12M,azimuth,3,W,0.0004,0.0005,-0.0011
06W1,WARK12M,azimuth,1,W,0.0003,0.0005,-0.0009
