code,name,X,Y,Z,xi,eta,geoidhgt,maxerr_h,minerr_h,azmaxerr,stderr_u,offset_e,offset_n,offset_u
00A1,00A1,-5115419.6427,477885.9143,-3767030.7874,-7.7000000000000002,-5.0999999999999996,36.052623356406556,0.00168,0.00144,94.67999,0.00374,,,
00A2,00A2,-5115412.5927,477885.0925,-3767039.6489,-7.7000000000000002,-5.0999999999999996,36.052203911408171,0.00166,0.00144,97.16631,0.00374,,,
00A3,00A3,-5115416.2296,477876.4499,-3767039.8154,-7.7000000000000002,-5.0999999999999996,36.052482511398473,0.00167,0.00144,97.67265,0.00374,,,
00B1,00B1,-5115419.6425,477885.9144,-3767030.7876,-7.7000000000000002,-5.0999999999999996,36.052623352270153,0.00168,0.00145,94.34644,0.00374,,,
00B2,00B2,-5115412.5927,477885.0924,-3767039.6490,-7.7000000000000002,-5.0999999999999996,36.052203910425995,0.00166,0.00144,96.68887,0.00374,,,
00B3,00B3,-5115416.2296,477876.4498,-3767039.8154,-7.7000000000000002,-5.0999999999999996,36.052482513672103,0.00167,0.00144,97.59902,0.00374,,,
00B4,00B4,-5115427.6252,477874.1817,-3767039.1687,-7.7000000000000002,-5.0999999999999996,36.052830874654475,0.00168,0.00145,98.64012,0.00375,,,
00C1,00C1,-5115427.4307,477882.8628,-3767046.8491,-7.7000000000000002,-5.0999999999999996,36.052399594298187,0.00169,0.00150,85.88165,0.00376,,,
00C3,00C3,-5115422.2813,477882.2269,-3767042.7674,-7.7000000000000002,-5.0999999999999996,36.052411076785695,0.00168,0.00148,89.66596,0.00376,,,
00C5,00C5,-5115422.3113,477878.1471,-3767036.6920,-7.7000000000000002,-5.0999999999999996,36.052686302606133,0.00170,0.00150,87.60515,0.00375,,,
00C6,00C6,-5115426.3161,477881.4416,-3767044.2733,-7.7000000000000002,-5.0999999999999996,36.052481880040801,0.00169,0.00149,89.21517,0.00375,,,
00D1,00D1,-5115428.0302,477877.7981,-3767046.6780,-7.7000000000000002,-5.0999999999999996,36.052533627886525,0.00174,0.00147,107.55594,0.00376,,,
00D3,00D3,-5115422.8186,477877.5157,-3767042.6357,-7.7000000000000002,-5.0999999999999996,36.052534383637663,0.00171,0.00145,103.24582,0.00376,,,
00D5,00D5,-5115421.6725,477882.1083,-3767037.0544,-7.7000000000000002,-5.0999999999999996,36.052570472668599,0.00174,0.00146,104.45446,0.00375,,,
00D6,00D6,-5115426.6562,477879.0100,-3767044.1206,-7.7000000000000002,-5.0999999999999996,36.052549609959463,0.00172,0.00146,104.34687,0.00376,,,
00W1,00W1,-5115323.6932,477842.4541,-3767191.6871,-7.7000000000000002,-5.0999999999999996,36.046432457099748,0.00157,0.00145,94.85781,0.00374,,,
