fromstn,tostn,lv_value,lv_error,obsstn,sderr,zderr,sd1,sd2
TWN3,TWS3,2.9868,0.000100,TP06,0.00000419,0.00000003,42.29,38.39
TWN3,TWS3,2.9871,0.000100,TP02,0.00000402,0.00000003,42.16,37.67
TWN3,WAN3,-0.3821,0.000100,TP01,0.00000220,0.00000000,5.00,5.93
TWN3,WAN3,-0.3822,0.000100,TP07,0.00000657,0.00000001,7.80,7.10
TWS3,WAS3,-0.1204,0.000100,TP03,0.00000311,0.00000001,15.60,14.97
TWS3,WAS3,-0.1204,0.000100,TP04,0.00000391,0.00000002,15.64,15.20
TWS3,WAS3,-0.1204,0.000100,TP05,0.00000346,0.00000001,15.64,15.20
TWSE,WASE,0.1248,0.000100,TP22,0.00000119,0.00000001,7.43,8.31
TWSE,WASE,0.1248,0.000100,TP23,0.00000087,0.00000001,7.43,8.31
TWSW,WASE,0.2260,0.000100,TP21,0.00000069,0.00000001,11.83,11.35
TWSW,WASE,0.2260,0.000100,TP24,0.00000063,0.00000001,11.65,11.43
TWSW,WASW,-0.1250,0.000100,TP20,0.00000086,0.00000000,6.10,5.41
TWSW,WASW,-0.1250,0.000100,TP25,0.00000131,0.00000000,6.29,5.25
WAN3,WAS3,3.2486,0.000100,TP08,0.00000375,0.00000004,52.31,44.94
WANW,WASW,0.6874,0.000100,TP26,0.00000368,0.00000001,8.63,8.46
WANW,WASW,0.6875,0.000100,TP19,0.00000302,0.00000001,8.71,8.37
WANW,WAW1,-10.7085,0.000100,TP18,0.00001440,0.00000002,25.02,25.16
WANW,WAW1,-10.7086,0.000100,TP17,0.00001439,0.00000002,25.02,25.16
WAS3,WAW3,7.3321,0.000100,TP09,0.00000687,0.00000004,48.72,48.31
WAS3,WAW3,7.3321,0.000100,TP10,0.00000692,0.00000004,48.71,48.29
WAW1,WAW2,-0.1146,0.000100,TP15,0.00000088,0.00000001,8.61,8.74
WAW1,WAW2,-0.1181,0.000100,TP12,0.00000085,0.00000001,8.39,8.89
WAW1,WAW3,-0.5385,0.000100,TP13,0.00000376,0.00000001,8.74,8.63
WAW1,WAW3,-0.5385,0.000100,TP14,0.00000296,0.00000001,8.75,8.61
WAW2,WAW3,-0.4239,0.000100,TP16,0.00000177,0.00000001,8.76,8.61
WAW2,WAW3,-0.4240,0.000100,TP11,0.00000262,0.00000001,8.46,8.90
